,0,1
450,"Bailiffs, correctional officers, and jailers",financial officers
451,"Packers and packagers, hand",managers
452,"Inspectors, testers, sorters, samplers, and weighers",trade and technical teachers
453,"First-line supervisors of protective service workers, all other",service workers
454,"Archivists, curators, and museum technicians",technicians
455,Tire builders,drivers
456,"Morticians, undertakers, and funeral directors",trade and technical teachers
457,"Bookkeeping, accounting, and auditing clerks",bookkeeping
458,"Miscellaneous mathematical science occupations, including mathematicians and statisticians",mathematicians
459,Hazardous materials removal workers,government workers
460,Appraisers and assessors of real estate,waiters and waitresses
461,Miscellaneous health technologists and technicians,technicians
462,Structural iron and steel workers,government workers
463,"Conveyor operators and tenders, and hoist and winch operators",trade and technical teachers
464,Surveying and mapping technicians,technicians
465,Gaming services workers,social workers
466,Massage therapists,physical therapists
467,Diagnostic related technologists and technicians,technicians
468,"Molders and molding machine setters, operators, and tenders, metal and plastic",trade and technical teachers
469,"Switchboard operators, including answering service",health service workers
470,Construction managers,managers
471,Financial examiners,financial officers
472,Construction and building inspectors,construction workers
473,Miscellaneous law enforcement workers,government workers
474,Physical therapists,physical therapists
475,Travel agents,agents
476,Clinical laboratory technologists and technicians,technicians
477,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",trade and technical teachers
478,"Maintenance and repair workers, general",government workers
479,"Miscellaneous textile, apparel, and furnishings workers except upholsterers",government workers
480,Home appliance repairers,Home economics
481,Recreation and fitness workers,government workers
482,"Paving, surfacing, and tamping equipment operators",trade and technical teachers
483,Machine feeders and offbearers,farmers
484,Receptionists and information clerks,receptionists
485,Electronic home entertainment equipment installers and repairers,trade and technical teachers
